video_id,video_name,camera,label
columpiosCam1_columpioscam1-2024-09-25 20:36:49,columpioscam1-2024-09-25 20:36:49,columpiosCam1,no_activity
columpiosCam1_columpioscam1-2024-11-14 19:26:49,columpioscam1-2024-11-14 19:26:49,columpiosCam1,Social_People
columpiosCam1_columpioscam1-2024-11-17 17:25:20,columpioscam1-2024-11-17 17:25:20,columpiosCam1,Social_People
columpiosCam1_columpioscam1-2024-11-17 17:53:34,columpioscam1-2024-11-17 17:53:34,columpiosCam1,Social_People
columpiosCam1_columpioscam1-2024-11-17 17:55:19,columpioscam1-2024-11-17 17:55:19,columpiosCam1,Social_People
columpiosCam1_columpioscam1-2024-11-17 17:59:08,columpioscam1-2024-11-17 17:59:08,columpiosCam1,Social_People
columpiosCam1_columpioscam1-2024-11-17 18:01:22,columpioscam1-2024-11-17 18:01:22,columpiosCam1,Adult_Assisting
columpiosCam1_columpioscam1-2024-11-17 18:18:17,columpioscam1-2024-11-17 18:18:17,columpiosCam1,Social_People
columpiosCam1_columpioscam1-2025-01-07_12-32-25,columpioscam1-2025-01-07_12-32-25,columpiosCam1,no_activity
columpiosCam1_columpioscam1-2025-01-07_16-51-50 copy,columpioscam1-2025-01-07_16-51-50 copy,columpiosCam1,Transit
columpiosCam1_columpioscam1-2025-01-07_16-51-50,columpioscam1-2025-01-07_16-51-50,columpiosCam1,Transit
columpiosCam1_columpioscam1-2025-01-07_20-41-17,columpioscam1-2025-01-07_20-41-17,columpiosCam1,Transit
columpiosCam1_columpioscam1-2025-01-07_20-58-41,columpioscam1-2025-01-07_20-58-41,columpiosCam1,no_activity
columpiosCam1_columpioscam1-2025-01-07_21-40-29 copy,columpioscam1-2025-01-07_21-40-29 copy,columpiosCam1,no_activity
columpiosCam2_columpioscam2-2024-09-25 17:10:07,columpioscam2-2024-09-25 17:10:07,columpiosCam2,Transit
columpiosCam2_columpioscam2-2024-09-25 17:26:50,columpioscam2-2024-09-25 17:26:50,columpiosCam2,Transit
columpiosCam2_columpioscam2-2024-09-25 19:17:00,columpioscam2-2024-09-25 19:17:00,columpiosCam2,Transit
columpiosCam2_columpioscam2-2024-09-25 20:46:44,columpioscam2-2024-09-25 20:46:44,columpiosCam2,Play_Object_Normal
columpiosCam2_columpioscam2-2024-11-16 20:15:14,columpioscam2-2024-11-16 20:15:14,columpiosCam2,Adult_Assisting
columpiosCam2_columpioscam2-2024-11-16 20:19:43,columpioscam2-2024-11-16 20:19:43,columpiosCam2,Play_Object_Normal
columpiosCam2_columpioscam2-2024-11-16 20:23:37,columpioscam2-2024-11-16 20:23:37,columpiosCam2,Play_Object_Normal
columpiosCam2_columpioscam2-2024-11-16 20:24:25,columpioscam2-2024-11-16 20:24:25,columpiosCam2,Play_Object_Normal
columpiosCam2_columpioscam2-2024-11-17 20:53:04,columpioscam2-2024-11-17 20:53:04,columpiosCam2,Play_Object_Normal
columpiosCam2_columpioscam2-2024-11-17 20:53:59,columpioscam2-2024-11-17 20:53:59,columpiosCam2,Play_Object_Normal
columpiosCam2_columpioscam2-2024-11-17 20:56:16,columpioscam2-2024-11-17 20:56:16,columpiosCam2,Adult_Assisting
columpiosCam2_columpioscam2-2024-11-17 21:48:14,columpioscam2-2024-11-17 21:48:14,columpiosCam2,Play_Object_Normal
columpiosCam2_columpioscam2-2024-11-17 21:48:44,columpioscam2-2024-11-17 21:48:44,columpiosCam2,Play_Object_Normal
columpiosCam2_columpioscam2-2024-12-09_09-48-00,columpioscam2-2024-12-09_09-48-00,columpiosCam2,Transit
